FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,BGR,Bulgaria,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,9.2244,19.5498,33.0395,44.8576,61.0333,81.1551,108.025,130.455,138.397,139.621,137.14,141.938,147.338,144.355,131.335,128.103,125.906,120.596,119.395,116.617,114.597,114.912,116.679,117.933,118.067
A,Annual,BHR,Bahrain,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,30.7247,42.8008,51.7138,54.6188,74.5619,82.2539,91.2343,105.539,128.559,118.449,129.158,140.351,174.62,175.802,177.4,183.92,209.489,159.547,139.735,129.143,119.412,128.079,139.636,153.9,159.536
A,Annual,BHS,"Bahamas, The",ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,9.73459,18.4711,36.7171,36.4188,54.743,66.2329,72.6192,105.849,99.9805,98.898,116.572,80.3784,79.9001,75.735,82.3551,80.7521,92.8219,90.5387,98.9789,107.812,117.717,100.257,101.624,100.048,96.6799
A,Annual,BIH,Bosnia and Herzegovina,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,2.24498,10.6404,17.8792,25.7218,33.9881,38.9203,46.4606,61.0557,80.532,83.9539,81.6019,84.7529,91.4833,96.6063,97.9342,97.8678,98.0144,100.333,102.187,112.255,106.375,114.912,118.944,117.734,121.232
A,Annual,BLR,Belarus,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,0.493959,1.39191,4.6856,11.4045,23.0022,42.4035,62.0314,72.7795,85.2943,101.881,108.873,112.902,112.822,117.434,120.366,120.67,120.432,120.213,122.57,123.23,125.165,127.117,128.315,128.979,131.123
A,Annual,BLZ,Belize,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,6.98176,15.7642,20.2059,22.899,27.6052,34.3187,40.9896,39.9574,52.5797,51.7517,60.6414,67.9524,51.5597,51.1128,49.3805,59.4798,61.1256,64.1586,64.7802,66.0705,67.5517,66.7769,67.175,,
A,Annual,BMU,Bermuda,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,21.121,21.5511,48.2765,64.1169,78.3311,84.0682,95.6489,109.506,124.803,133.721,138.407,,142.978,148.331,93.6438,59.8765,100.697,102.232,,104.513,105.62,105.185,105.274,,96.6768
A,Annual,BOL,Bolivia,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,6.76967,8.91055,11.4977,14.1298,19.5647,25.8676,30.2062,33.5993,51.1488,64.5389,70.5073,80.7163,90.2756,97.5951,96.3264,92.266,90.3953,96.6384,99.4566,100.149,99.8988,100.809,101.572,,98.0288
A,Annual,BRA,Brazil,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,13.3251,16.3049,19.5408,25.6741,35.9135,46.6789,53.5317,64.1626,79.132,88.1849,101.667,120.008,126.132,136.589,140.305,127.836,120.101,108.093,101.602,97.3747,98.6456,104.825,101.245,101.02,101.927
A,Annual,BRB,Barbados,ITU_DH_MOB_SUB_PER_100,Mobile-cellular subscriptions per 100 inhabitants (ITU),SB_10P2_HB,Subscriptions per 100 inhabitants,MEAN,Mean,ITU_DH,ICT Indicators Database,0,Units,A,Normal value,PU,Public,10.8627,20.2385,36.7949,52.6759,74.8745,76.7344,87.8212,94.953,105.848,122.96,127.183,125.993,126.128,110.82,109.739,120.001,118.816,117.63,117.319,117.112,104.722,112.223,114.581,,
